,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03
0,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC
1,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH
2,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP,XRP
3,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH,BCH
4,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA,ADA
5,LTC,LTC,LTC,LTC,LTC,LTC,LTC,LTC,LTC,LTC,XLM,XLM,XLM,XLM,XLM,NEO,NEO,XLM,XLM,NEO
6,XEM,XEM,NEO,NEO,XEM,XEM,XEM,XEM,XEM,XLM,LTC,LTC,LTC,LTC,LTC,XLM,LTC,NEO,NEO,XLM
7,XLM,NEO,XEM,XEM,NEO,NEO,NEO,NEO,XLM,XEM,NEO,EOS,EOS,XEM,NEO,LTC,XLM,LTC,LTC,LTC
8,NEO,XLM,XLM,XLM,XLM,XLM,EOS,EOS,EOS,EOS,XEM,NEO,NEO,NEO,EOS,EOS,EOS,EOS,EOS,EOS
9,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,XLM,XLM,NEO,NEO,EOS,XEM,XEM,EOS,XEM,XEM,XEM,XEM,XEM,XEM
10,EOS,EOS,EOS,DASH,DASH,EOS,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA,MIOTA
11,DASH,DASH,DASH,EOS,EOS,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH,DASH
12,XMR,XMR,XMR,TRX,TRX,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR,XMR
13,TRX,TRX,TRX,XMR,XMR,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX,TRX
14,BTG,ETC,ICX,ETC,ICX,ICX,ICX,ICX,ICX,ICX,VEN,VEN,VEN,VEN,ICX,ICX,ICX,QTUM,QTUM,LSK
15,ETC,QTUM,ETC,ICX,ETC,ETC,QTUM,QTUM,QTUM,QTUM,ICX,QTUM,ICX,ICX,ETC,QTUM,QTUM,LSK,LSK,VEN
16,ICX,ICX,QTUM,QTUM,QTUM,QTUM,ETC,ETC,ETC,ETC,QTUM,ICX,QTUM,ETC,QTUM,ETC,ETC,ICX,ETC,ETC
17,QTUM,LSK,LSK,LSK,LSK,LSK,LSK,LSK,LSK,LSK,ETC,ETC,ETC,QTUM,VEN,VEN,VEN,VEN,VEN,XRB
18,LSK,XRB,XRB,XRB,XRB,XRB,XRB,XRB,VEN,VEN,LSK,LSK,LSK,LSK,PPT,LSK,LSK,ETC,PPT,QTUM
19,XRB,OMG,OMG,OMG,OMG,OMG,VEN,VEN,XRB,XRB,XRB,OMG,XRB,XRB,LSK,PPT,PPT,XRB,ICX,USDT
20,OMG,ARDR,USDT,ARDR,USDT,VEN,OMG,OMG,USDT,PPT,OMG,PPT,PPT,PPT,XRB,XRB,USDT,PPT,XRB,ICX
21,ARDR,STRAT,ZEC,USDT,XVG,ZEC,PPT,PPT,OMG,OMG,PPT,XRB,OMG,OMG,USDT,USDT,XRB,USDT,USDT,PPT
22,BNB,BNB,ARDR,ZEC,SC,USDT,ZEC,USDT,PPT,USDT,USDT,STEEM,USDT,USDT,OMG,OMG,OMG,OMG,OMG,OMG
23,ZEC,ZEC,STRAT,SC,PPT,PPT,USDT,ZEC,ZEC,ZEC,STEEM,USDT,STEEM,STEEM,STEEM,STRAT,ZEC,ZEC,ZEC,ZEC
24,XVG,SC,PPT,PPT,VEN,XVG,XVG,XVG,XVG,XVG,ZEC,ZEC,ZEC,ZEC,ZEC,STEEM,STRAT,STEEM,STEEM,STEEM
25,STRAT,BCN,VEN,STRAT,ZEC,SC,BNB,BNB,BNB,BNB,XVG,BNB,STRAT,STRAT,STRAT,ZEC,STEEM,STRAT,BTS,BNB
26,BCN,PPT,BNB,BNB,ARDR,BNB,SC,SC,SC,SC,BNB,XVG,BNB,XVG,SC,SC,BNB,BTS,STRAT,STRAT
27,SC,VEN,XVG,XVG,BCN,STRAT,STRAT,STRAT,BCN,STRAT,STRAT,SC,BCN,BCN,BCN,BCN,BCN,BNB,BNB,DGD
28,BCC,XVG,SC,BCN,STRAT,ARDR,BCN,BCN,STRAT,BCN,SC,STRAT,XVG,BTS,BNB,BNB,SC,BCN,BCN,SC
